,imdbID,Title,Year
603,tt0109506,The Crow,1994
604,tt0816442,The Book Thief,2013
605,tt1681370,The Algerian,2014
606,tt0096754,The Abyss,1989
607,tt0429493,The A-Team,2010
608,tt0427944,Thank You for Smoking,2005
609,tt0829482,Superbad,2007
610,tt0420223,Stranger Than Fiction,2006
611,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005
612,tt0117731,Star Trek: First Contact,1996
613,tt0038109,Spellbound,1945
614,tt0162348,Smiling Fish & Goat on Fire,1999
615,tt3397884,Sicario,2015
616,tt0988045,Sherlock Holmes,2009
617,tt0327137,Secondhand Lions,2003
618,tt0384504,Saving Face,2004
619,tt0384488,Saint Ralph,2004
620,tt1318514,Rise of the Planet of the Apes,2011
621,tt0093818,Radio Days,1987
622,tt2431286,Philomena,2013
623,tt0314412,My Life Without Me,2003
624,tt0408306,Munich,2005
625,tt0203009,Moulin Rouge!,2001
626,tt1210166,Moneyball,2011
627,tt1013753,Milk,2008
628,tt0095631,Midnight Run,1988
629,tt2265431,Me You and Five Bucks,2013
630,tt2674426,Me Before You,2016
631,tt0428803,March of the Penguins,2005
632,tt0082694,Mad Max 2: The Road Warrior,1981
633,tt0399295,Lord of War,2005
634,tt1091191,Lone Survivor,2013
635,tt0116905,Lone Star,1996
636,tt0404203,Little Children,2006
637,tt1707386,Les Misérables,2012
638,tt0113627,Leaving Las Vegas,1995
639,tt0441773,Kung Fu Panda,2008
640,tt0373469,Kiss Kiss Bang Bang,2005
641,tt0057193,It's a Mad Mad Mad Mad World,1963
642,tt0110148,Interview with the Vampire: The Vampire Chronicles,1994
643,tt2378281,Instructions Not Included,2013
644,tt0454848,Inside Man,2006
645,tt0087469,Indiana Jones and the Temple of Doom,1984
646,tt0268380,Ice Age,2002
647,tt0277027,I Am Sam,2001
648,tt0315983,House of Sand and Fog,2003
649,tt0385004,House of Flying Daggers,2004
650,tt0068699,High Plains Drifter,1973
651,tt0146882,High Fidelity,2000
652,tt1614989,Headhunters,2011
653,tt0330373,Harry Potter and the Goblet of Fire,2005
654,tt0462322,Grindhouse,2007
655,tt0333766,Garden State,2004
656,tt2713180,Fury,2014
657,tt1294164,Fuel,2008
658,tt2294629,Frozen,2013
659,tt1227378,"Fat, Sick & Nearly Dead",2010
660,tt0079116,Escape from Alcatraz,1979
661,tt0215750,Enemy at the Gates,2001
662,tt0279064,Elling,2001
663,tt0112864,Die Hard with a Vengeance,1995
664,tt0112818,Dead Man Walking,1995
665,tt2103281,Dawn of the Planet of the Apes,2014
666,tt0369339,Collateral,2004
667,tt3682448,Bridge of Spies,2015
668,tt0171804,Boys Don't Cry,1999
669,tt0221027,Blow,2001
670,tt0218043,Beyond the Mat,1999
671,tt0374536,Bewitched,2005
672,tt0096895,Batman,1989
673,tt0221809,Ayurveda: Art of Being,2001
674,tt0382330,As It Is in Heaven,2004
675,tt0106308,Army of Darkness,1992
676,tt0112384,Apollo 13,1995
677,tt2361700,Antarctica: A Year on Ice,2013
678,tt9072838,Animal House,2019–
679,tt0144084,American Psycho,2000
680,tt0286261,All or Nothing,2002
681,tt1315981,A Single Man,2009
682,tt0104257,A Few Good Men,1992
683,tt0289043,28 Days Later...,2002
684,tt0068156,1776,1972
685,tt1542344,127 Hours,2010
686,tt0114746,12 Monkeys,1995
687,tt1038988,REC,2007
688,tt0114906,Welcome to the Dollhouse,1995
689,tt1242460,We Need to Talk About Kevin,2011
690,tt0315297,Twisted,2004
691,tt0378906,Travelers and Magicians,2003
692,tt0086465,Trading Places,1983
693,tt0399095,Trade,2007
694,tt0100802,Total Recall,1990
695,tt0066473,Tora! Tora! Tora!,1970
696,tt0419294,Three Burials,2005
697,tt0460989,The Wind that Shakes the Barley,2006
698,tt0038213,The Valley of Decision,1945
699,tt0072271,The Texas Chain Saw Massacre,1974
700,tt0446755,The Painted Veil,2006
701,tt0464141,The Orphanage,2007
702,tt0289992,The Life of David Gale,2003
703,tt0119349,The Ice Storm,1997
704,tt2310332,The Hobbit: The Battle of the Five Armies,2014
705,tt0388980,The Greatest Game Ever Played,2005
706,tt3155604,The Geographer Drank His Globe Away,2013
707,tt2404311,The Family,2013
708,tt0118971,The Devil's Advocate,1997
709,tt0085407,The Dead Zone,1983
710,tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,2005
711,tt0387131,The Constant Gardener,2005
712,tt1457767,The Conjuring,2013
